Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify blockquote tag functionality in reply,RE-49,10062,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 9:40,09-09-21 11:02,09-09-21 11:02,08-09-21 22:09,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000e7:,,RE Sprint 1,,,,,,,,Done
Verify insert/edit link functionality in reply,RE-48,10061,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 9:01,09-09-21 11:03,09-09-21 11:04,08-09-21 22:13,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i000dz:,,RE Sprint 1,,,,,,,,Done
Verify text formatting functionality in reply ,RE-47,10060,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 8:56,09-09-21 11:03,09-09-21 11:03,08-09-21 22:13,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i000dr:,,RE Sprint 1,,,,,,,,Done
Verify reply functionality ,RE-46,10059,Test,Block,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,07-09-21 23:28,08-09-21 23:00,09-09-21 11:04,,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i000dj:,,RE Sprint 1,,,,,,,,In Progress
"In comments page, in the Quick Edit function, the comment is not being updated ",RE-45,10058,Bug,To Do,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,07-09-21 16:48,08-09-21 22:04,09-09-21 11:04,,,0,"In the Quick edit function , comment is not being updated on clicking update comment

Steps to reproduce:
1. Navigate to the application 
2. In the comments page, navigate to any comment which is to be editted.

3. Select quick edit option and an edit comment box appears.

4. Edit the comment and select the update comment button

5. Verify the updated comment is displayed or not

Expected Results:

The updated comment should be displayed on selecting update comment button

Actual results:

The updated comment is not displayed on selecting update comment button but after refreshing the page it is being displayed",,Shramana Das,612ef868b7859000710af957,,,,,,,,,RE-31,,,08/Sep/21 8:49 PM;ug:2fe4737f-44c9-4a72-b04b-cc0c3545dec3;ss_quickedit.png;https://corporateola24.atlassian.net/secure/attachment/10001/ss_quickedit.png,,,,,,{},,RE-1,,,,,0|i000db:,,RE Sprint 1,,,,,,,,To Do
To verify pagination functionality of the current page,RE-44,10057,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 23:09,09-09-21 11:04,09-09-21 11:04,08-09-21 22:14,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-42,,,,,,,,{},,,,,,,0|i000d3:,,RE Sprint 1,,,,,,,,Done
To verify default count of records on page,RE-43,10056,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 23:06,09-09-21 11:04,09-09-21 11:04,08-09-21 22:16,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-42,,,,,,,,{},,,,,,,0|i000cv:,,RE Sprint 1,,,,,,,,Done
As a user I should be able to verify default count of records ,RE-42,10055,Story,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 23:02,09-09-21 10:41,09-09-21 11:05,08-09-21 21:54,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000cn:,,RE Sprint 1,,,,,,,,Done
"Verify ""delete permanently"" functionality to permanently delete each comment",RE-41,10054,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 17:52,09-09-21 11:05,09-09-21 11:05,08-09-21 22:17,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000cf:,,RE Sprint 1,,,,,,,,Done
"Verify ""delete permanently"" functionality to delete each comment permanently",RE-40,10053,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 17:37,09-09-21 11:06,09-09-21 11:06,08-09-21 22:17,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-36,,,,,,,,{},,,,,,,0|i000c7:,,RE Sprint 1,,,,,,,,Done
