h2. Environment",,Shramana Das,612ef868b7859000710af957,,,,,,,,,RE-46,,,08/Sep/21 8:48 PM;ug:2fe4737f-44c9-4a72-b04b-cc0c3545dec3;ss_reply.png;https://corporateola24.atlassian.net/secure/attachment/10000/ss_reply.png,,,,,,{},,RE-1,,,,,0|i000dn:,,RE Sprint 1,,,,,,,,To Do
"Verify ""mark as spam"" for comments in trash comment section",RE-35,10048,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 4:50 PM,09/Sep/21 11:09 AM,09/Sep/21 3:34 PM,08/Sep/21 10:21 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000b3:,,RE Sprint 1,,,,,,,,Done
"Verify ""Empty Trash"" functionality to permanently delete all comments from trash",RE-34,10047,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 4:39 PM,09/Sep/21 11:09 AM,09/Sep/21 3:34 PM,08/Sep/21 10:25 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000av:,,RE Sprint 1,,,,,,,,Done
Verify restore functionality to restore comments from trash to all comments section,RE-33,10046,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 4:38 PM,09/Sep/21 11:10 AM,09/Sep/21 3:33 PM,08/Sep/21 10:25 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000an:,,RE Sprint 1,,,,,,,,Done
"Verify ""Move to Trash"" functionality to delete comments",RE-32,10045,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 4:37 PM,09/Sep/21 11:10 AM,09/Sep/21 3:33 PM,08/Sep/21 10:26 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000af:,,RE Sprint 1,,,,,,,,Done
Verify quick edit functionality,RE-31,10044,Test,Block,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 4:31 PM,08/Sep/21 11:00 PM,09/Sep/21 4:22 PM,,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-7,,,,,,,,{},,,,,,,0|i000df:,,RE Sprint 1,,,,,,,,In Progress
Verify edit functionality,RE-30,10043,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 4:31 PM,09/Sep/21 11:11 AM,09/Sep/21 2:58 PM,08/Sep/21 10:27 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-7,,,,,,,,{},,,,,,,0|i0009z:,,RE Sprint 1,,,,,,,,Done
Verify filter functionality when selected type of comment is not present,RE-28,10041,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 3:49 PM,09/Sep/21 11:12 AM,09/Sep/21 2:52 PM,08/Sep/21 10:28 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0009j:,,RE Sprint 1,,,,,,,,Done
"Verify filter functionality when comment type is ""all comment types""",RE-27,10040,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 3:46 PM,09/Sep/21 11:12 AM,09/Sep/21 2:51 PM,08/Sep/21 10:30 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0009b:,,RE Sprint 1,,,,,,,,Done
"Verify filter functionality when comment type is ""ping""",RE-26,10039,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 3:45 PM,09/Sep/21 11:12 AM,09/Sep/21 2:49 PM,08/Sep/21 10:33 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i00093:,,RE Sprint 1,,,,,,,,Done
"Verify filter comment functionality when the comment type is ""comment""",RE-25,10038,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 3:45 PM,09/Sep/21 11:13 AM,09/Sep/21 2:49 PM,08/Sep/21 10:33 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0008v:,,RE Sprint 1,,,,,,,,Done
Verify view property type attachment functionality,RE-24,10037,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 3:26 PM,09/Sep/21 11:13 AM,09/Sep/21 3:15 PM,08/Sep/21 10:33 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-22,,,,,,,,{},,,,,,,0|i0008n:,,RE Sprint 1,,,,,,,,Done
